,Title,Production company,Cast and crew,genres
231,The Girl in the Spider's Web,Columbia Pictures / Metro-Goldwyn-Mayer / Regency Enterprises,"Fede Alvarez (director/screenplay); Steven Knight, Jay Basu (screenplay); Claire Foy, Sverrir Gudnason, Lakeith Stanfield, Sylvia Hoeks, Stephen Merchant",Action Crime Thriller Drama
232,Overlord,Paramount Pictures / Bad Robot Productions,"Julius Avery (director); Billy Ray, Mark L. Smith (screenplay); Jovan Adepo, Wyatt Russell, Mathilde Ollivier, John Magaro, Gianny Taufer, Pilou Asbæk, Bokeem Woodbine",Horror War Science Fiction
233,The Ballad of Buster Scruggs,Netflix / Annapurna Pictures,"Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits",Comedy Drama Western
234,Lazer Team 2,Rooster Teeth,"Daniel Fabelo & Matt Hullum (director); Daniel Fabelo, Matt Hullum & Burnie Burns (screenplay); Gavin Free, Michael Jones, Burnie Burns, Colton Dunn, Nichole Bloom, Allie DeBerry",Science Fiction Action Adventure Comedy
235,The Marine 6: Close Quarters,WWE Studios / Sony Pictures Home Entertainment,"James Nunn (director); Craig Walendziak (screenplay); Chuck Norris (edited); Mike ""The Miz"" Mizanin, Shawn Michaels, Becky Lynch",Action Drama
236,Conundrum: Secrets Among Friends,Lionsgate,"Josh Webber (director); Shaun Cairo (Screenplay), Jo Marie Payton, Gary Leroi Gray, Paula Jai Parker, Parker McKenna Posey",Drama Thriller
237,Fantastic Beasts: The Crimes of Grindelwald,Warner Bros. Pictures / Heyday Films,"David Yates (director); J. K. Rowling (screenplay); Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol, Ezra Miller, Zoë Kravitz, Callum Turner, Claudia Kim, William Nadylam, Kevin Guthrie, Jude Law, Johnny Depp",Adventure Fantasy Drama
238,Widows,20th Century Fox / Regency Enterprises / Film4 Productions,"Steve McQueen (director/screenplay); Gillian Flynn (screenplay); Viola Davis, Michelle Rodriguez, Elizabeth Debicki, Cynthia Erivo, Colin Farrell, Brian Tyree Henry, Daniel Kaluuya, Carrie Coon, Jacki Weaver, Robert Duvall, Liam Neeson",Crime Thriller
239,Instant Family,Paramount Pictures,"Sean Anders (director/screenplay); John Morris (screenplay); Mark Wahlberg, Rose Byrne, Isabela Moner, Tig Notaro, Margo Martindale, Julie Hagerty, Octavia Spencer",Comedy Drama
240,Ralph Breaks the Internet,Walt Disney Pictures / Walt Disney Animation Studios,"Rich Moore, Phil Johnston (directors); Phil Johnston, Pamela Ribon (screenplay); John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson, Jack McBrayer, Jane Lynch, Bill Hader, Alfred Molina, Alan Tudyk, Ed O'Neill",Family Animation Comedy Adventure
241,Creed II,Metro-Goldwyn-Mayer / Warner Bros. Pictures,"Steven Caple Jr. (director); Sylvester Stallone, Juel Taylor (screenplay); Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Dolph Lundgren, Florian Munteanu, Wood Harris, Phylicia Rashad",Drama
242,Green Book,Universal Pictures / DreamWorks Pictures / Participant Media,"Peter Farrelly (director/screenplay); Brian Hayes Currie, Nick Vallelonga (screenplay); Viggo Mortensen, Mahershala Ali, Linda Cardellini",Drama Comedy
243,Robin Hood,Summit Entertainment,"Otto Bathurst (director); Ben Chandler, David James Kelly (screenplay); Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson, Tim Minchin, Jamie Dornan",Adventure Action Thriller
244,Roma,Netflix / Participant Media,"Alfonso Cuarón (director/screenplay); Yalitza Aparicio, Marina de Tavira, Fernando Grediaga, Jorge Antonio Guerrero",Drama
245,The Favourite,Fox Searchlight Pictures / Film4 Productions,"Yorgos Lanthimos (director); Deborah Davis, Tony McNamara (screenplay); Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult, Joe Alwyn",Drama History Comedy
246,Mowgli: Legend of the Jungle,Netflix / Warner Bros. Pictures,"Andy Serkis (director); Callie Kloves (screenplay); Rohan Chand, Christian Bale, Cate Blanchett, Benedict Cumberbatch, Andy Serkis, Matthew Rhys, Freida Pinto, Naomie Harris",Adventure Drama
247,The Possession of Hannah Grace,Screen Gems,"Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell, Grey Damon, Kirby Johnson, Stana Katic",Horror Drama
