,Opening,Opening.1,Title,Production company,Cast and crew,Ref.
111,AUGUST,14,The SpongeBob Movie: Sponge on the Run,Paramount Animation / Nickelodeon Movies / MRC / Mikros Image,"Tim Hill (director/screenplay); Tom Kenny, Bill Fagerbakke, Rodger Bumpass, Clancy Brown, Mr. Lawrence, Jill Talley, Carolyn Lawrence, Mary Jo Catlett, Lori Alan, Matt Berry, Keanu Reeves, Snoop Dogg, Awkwafina, Reggie Watts",[112]
112,AUGUST,14,Magic Camp,Walt Disney Pictures / Disney+,"Mark Waters (director); Micah Fitzerman-Blue, Noah Harpster, Matt Spicer, Max Winkler, Dan Gregor, Doug Mand (screenplay); Adam DeVine, Gillian Jacobs, Jeffrey Tambor",[113]
113,AUGUST,14,Boys State,Apple TV+ / A24,"Amanda McBaine, Jesse Moss (directors)",
114,AUGUST,14,Spree,RLJE Films / DreamCrew,"Eugene Kotlyarenko (director); Gene McHugh (screenplay); Joe Keery, Sasheer Zamata, Mischa Barton, John DeLuca",[114]
115,AUGUST,21,The One and Only Ivan,Walt Disney Pictures / Disney+,"Thea Sharrock (director); Mike White (screenplay); Sam Rockwell, Angelina Jolie, Danny DeVito, Helen Mirren, Brooklynn Prince, Ramón Rodríguez, Ariana Greenblatt, Chaka Khan, Ron Funches, Phillipa Soo, Mike White, Bryan Cranston",[115]
116,AUGUST,21,Unhinged,Solstice Studios,"Derrick Borte (director); Carl Ellsworth (screenplay); Russell Crowe, Caren Pistorius, Gabriel Bateman, Jimmi Simpson, Austin P. McKenzie",[116]
117,AUGUST,21,Cut Throat City,Well Go USA Entertainment,"RZA (director); Paul Cuschieri (screenplay); Shameik Moore, T.I., Demetrius Shipp Jr., Kat Graham, Wesley Snipes, Terrence Howard, Eiza González, Ethan Hawke",[117]
118,AUGUST,21,Tesla,IFC Films / Campbell Grobman Films,"Michael Almereyda (director/screenplay); Ethan Hawke, Eve Hewson, Ebon Moss-Bachrach, Jim Gaffigan, Kyle MacLachlan",[118]
119,AUGUST,21,Hard Kill,Vertical Entertainment,"Matt Eskandari (director); Chris LaMont, Joe Russo (screenplay); Jesse Metcalfe, Bruce Willis",[119]
120,AUGUST,21,Chemical Hearts,Amazon Studios,"Richard Tanne (director/sceenplay); Austin Abrams, Lili Reinhart",[120]
