,Opening,Opening.1,Title,Director,Cast,Genre,Studio,Ref.
61,JUL,7.0,Guest Iin London,Ashwni Dhir,"Kartik Aaryan, Kriti Kharbanda, Paresh Rawal & Tanvi Azmi",Comedy,Panorama Studios,[108]
62,JUL,14.0,Jagga Jasoos,Anurag Basu,Ranbir Kapoor & Katrina Kaif,Comedy/romance,"The Walt Disney Company India, Picture Shuru Entertainment & Ishana Movies",[109]
63,JUL,14.0,Shab,Onir,"Raveena Tandon, Sanjay Suri, Ashish Bisht, Arpita Pal, Simon Frenay, Raj Suri, Gaurav Nanda",Drama,"WSG Pictures, Anticlock Films",[110]
64,JUL,21.0,Lipstick Under My Burkha,Alankrita Shrivastava,"Konkona Sen Sharma, Ratna Pathak Shah & Aahana Kumra",Sex/drama,ALT BalajiBalaji Motion Pictures,[111]
65,JUL,21.0,Munna Michael,Sabbir Khan,"Tiger Shroff, Nidhhi Agerwal & Nawazuddin Siddiqui",Action/romance,Eros International & Next Gen Films,[112]
66,JUL,28.0,Raag Desh,Tigmanshu Dhulia,"Kunal Kapoor, Amit Sadh & Mohit Marwah",Period drama/action,Rajya Sabha TV,[113]
67,JUL,28.0,Indu Sarkar,Madhur Bhandarkar,"Anupam Kher, Neil Nitin Mukesh, Kirti Kulhari, Tota Roy Chowdhury, Supriya Vinod, Sheeba Chaddha, Parvin Dabas",Drama,Bharat Shah,[114]
68,JUL,28.0,Mubarakan,Anees Bazmee,"Anil Kapoor, Arjun Kapoor, Ileana D'Cruz, Neha Sharma & Athiya Shetty",Comedy/romance,Cine1 Studios Mark Production,[115][116]
69,AUG,4.0,Gurgaon,Shanker Raman,"Akshay Oberoi, Ragini Khanna, Pankaj Tripathi, Aamir Bashir, Shalini Vatsa, Srinivas Sunderrajan",Neo-noir,JAR Pictures,[117]
70,AUG,4.0,Jab Harry Met Sejal,Imtiaz Ali,"Shah Rukh Khan, Anushka Sharma, Evelyn Sharma & Chandan Roy Sanyal",Romance,Red Chillies Entertainment,[118][119]
71,AUG,11.0,Toilet: Ek Prem Katha,Shree Narayan Singh,"Akshay Kumar, Bhumi Pednekar, Divyendu Sharma, Anupam Kher, Sana Khan",Comedy/drama,"Viacom 18 Motion Pictures, KriArj Entertainment, Neeraj Pandey, Plan C Studios & Cape of Good Films LLP",[120][121]
