,Opening,Opening.1,Title,Genre,Director,Cast,Studio,Ref.
96,OCT,14,Anna,Biographical,Shashank Udapurkar,"Shashank Udapurkar, Tanishaa Mukerji, Govind Namdeo, Rajit Kapur, Sharat Saxena, Kishor Kadam",,[165]
97,OCT,14,Motu Patlu: King of Kings,Animation/comedy/adventure,Suhas D. Kadavand,"Saurav Chakraborty, Omi Sharma",,[166]
98,OCT,14,Beiimaan Love,Thriller,Rajeev Chaudhary,"Sunny Leone, Rajneesh Duggal, Daniel Weber",,[167]
99,OCT,14,Saat Uchakkey,Comedy,Sanjeev Sharma,"Manoj Bajpayee, Anupam Kher, Kay Kay Menon, Annu Kapoor, Vijay Raaz, Aditi Sharma",,
100,OCT,14,Fuddu,Drama,Sunil Subramani,"Swati Kapoor, Monali A, Pawan Kumar Sharma, Anurag Basu",,
101,OCT,14,Aakhir Kab Tak,Social drama,Mithilesh Avinash,"Manisha Singh, Vinay Rana",,[168]
102,OCT,21,Love Day - Pyaar Ka Din,Comedy thriller,"Sandeep Choudhary, Harish kotian","Ajaz khan, Sahil anand, Harsh nagar, Anant Mahadevan, Vaibhav Mathur, Shalu Singh, Amit khanna, Devendra Chauhan",,[169][170][171]
103,OCT,21,Umrika,Drama,Prashant Nair,"Prateik Babbar, Suraj Sharma, Tony Revolori, Adil Hussain, Nidhi Bisht",,[172]
104,OCT,21,31st October,Drama/thriller,Shivaji Lotan Patil,"Vir Das, Soha Ali Khan",,
105,OCT,28,Shivaay,Drama/action,Ajay Devgn,"Ajay Devgn, Sayyeshaa, Erika Kaar, Ali Kazmi, Jabbz Farooqi, Vir Das, Bijou Thaangjam",,[173]
106,OCT,28,Ae Dil Hai Mushkil,Drama,Karan Johar,"Ranbir Kapoor, Aishwarya Rai, Fawad Khan, Imran Abbas, Lisa Haydon",,[174]
107,NOV,11,Chaar Sahibzaade: Rise of Banda Singh Bahadur,Animation,Harry Baweja,Harman Baweja,,[175]
108,NOV,11,Dongari Ka Raja,Action/thriller,Hadi Ali Abrar,"Gashmeer Mahajani, Reecha Sinha, Ronit Roy, Sachin Suvarna, Ashmit Patel",,[176]
109,NOV,11,Ishq Junoon,Romantic/erotic,Sanjay Sharma,"Rajbeer Singh, Akshay Rangshahi, Divya Singh, Raj Aryan",,[177]
110,NOV,11,Rock On 2,Drama,Sujaat Saudagar,"Farhan Akhtar, Arjun Rampal, Purab Kohli, Shraddha Kapoor, Prachi Desai, Shashank Arora, Shahana Goswami",,[178]
111,NOV,18,Tum Bin II,Romance,Anubhav Sinha,"Neha Sharma, Aditya Seal, Aashim Gulati",,[179]
112,NOV,18,Force 2,Action,Abhinay Deo,"John Abraham, Sonakshi Sinha, Tahir Raj Bhasin",,[180]
113,NOV,25,Dear Zindagi,Drama,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Ira Dubey, Kunal Kapoor",,
114,NOV,25,Saansein,Romantic/horror,Rajiv S. Ruia,"Rajneesh Duggal, Sonarika Bhadoria, Hiten Tejwani, Neetha Shetty, Sachi Ruia, Amir Dalvi, Vishal Malhotra",,[181][182]
115,NOV,25,Moh Maya Money,Crime drama,Munish Bharadwaj,"Ranvir Shorey, Neha Dhupia, Vidhushi Mehra, Ashwat Bhatt",,[183]
116,DEC,2,Kahaani 2,Thriller,Sujoy Ghosh,"Vidya Balan, Arjun Rampal, Jugal Hansraj",,[184]
117,DEC,9,Befikre,Romance,Aditya Chopra,"Ranveer Singh, Vaani Kapoor",,[185]
118,DEC,16,Wajah Tum Ho,Romance/drama,Vishal Pandya,"Sana Khan, Sharman Joshi, Gurmeet Choudhary",,[186]
119,DEC,23,Dangal,Biopic,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Zaira Wasim",,[187][188]
